;1970;1975;1980;1985;1990;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012
RU;470,2;639,9;804,9;962;1082,2;860;847,2;834,1;827,2;846,2;877,8;891,3;891,3;916,3;931,9;953,1;995,8;1015,3;1040,4;992;1038;1055;1069
RU-FOCE;90;129,6;163;214,1;246,6;189,7;189,4;187,3;182,4;190,1;195,8;196,3;196,7;207,1;200,4;209,8;224,7;228,2;229,9;218,5;229;232;236
RU-BEL;0,7;0,5;0,5;0,5;0,5;0,4;0,4;0,4;0,4;0,4;0,5;0,5;0,5;0,5;0,4;0,4;0,8;0,9;1;0,7;0,8;0,9;0,9
RU-BRY;0,9;0,5;0,4;0,5;0,4;0,4;0,4;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,2;0,2;0,2;0,1;0,1;0,1;0,1
RU-VLA;0,9;2;1,8;2,1;2;1,9;2,1;1,9;2,1;1,9;1,9;2,1;2;2;2,2;2,2;2,2;2,1;2,1;2,1;2;1,8;1,7
RU-VOR;3,5;10,8;12,8;18,2;11,3;10;10,7;12,7;10,7;10,4;12,3;11,9;13,4;14;10,6;9,3;14,6;12,5;14,1;13;12,8;9,9;14,8
RU-IVA;1,9;1,7;1,6;1,7;2,7;1,8;2;2;1,7;1,3;1,4;1,2;1,3;1,3;1,7;1,8;1,9;2,1;2,5;2,4;2,3;2,1;2,1
RU-KLU;0,2;0,2;0,2;0,2;0,2;0,2;0,1;0,1;0,1;0,1;0,1;0,1;0,2;0,2;0,3;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2
RU-KOS;4,2;16,5;16,9;21,3;22,5;10,8;9,3;13,1;14,1;13,2;12,7;13,3;11,6;13,6;13,1;13,2;14;14,5;14,8;13;13,6;14,8;15,2
RU-KRS;1,8;1,4;14,9;21,7;26;18,9;20,1;19,5;20;23;23,1;18,7;20,5;24,3;25,6;28,3;25,6;28,8;24,1;28,2;29,4;30,1;30,6
RU-LIP;1,6;1,6;2;2,9;4;3,9;3,8;3,5;3,5;3,7;3,7;4;4,3;4,1;4,1;4,1;4,4;4,4;4,5;4,1;4,4;4,8;5,3
RU-MOS;11,7;20,3;26,6;26,5;27,6;22,3;22,1;19;19,5;20;20,6;22,7;21,6;22,8;21,6;23,8;25,3;25,1;27,6;26,2;30,1;31,9;28,3
RU-ORL;0,3;0,3;0,8;1;0,9;1,4;1,4;1,5;1,5;1,5;1,3;1,3;1,3;1,5;1,4;1,5;1,5;1,5;1,5;1,2;1,3;1,2;1,3
RU-RYA;1,7;8;8,4;15,8;19,3;13,3;12;14;11,9;11,1;12,5;12,5;11,7;11;10,6;10,6;12,2;12,6;13,5;9,8;10,3;11,5;10,2
RU-SMO;1,3;2;3,5;15,5;24,9;20,5;23,9;19,7;17,5;22,4;22,9;23,7;22,8;25,3;22,1;23,4;23,7;23,7;25,3;24,8;24,3;23,9;23,9
RU-TAM;1;0,6;0,8;1,5;1,5;1,8;1,4;1,2;1,3;1,4;1,4;1,6;1,5;1,3;1,5;1,4;1,4;1,3;1,3;1,2;1,1;1,3;1,2
RU-TVE;15,6;16,2;17;19,8;27,7;17,7;16;17,9;20,7;22,8;22,3;23,1;24,4;23;22,8;26,3;31,2;32,7;32,5;31;32,9;33,9;37,9
RU-TUL;20;20,6;18,8;17,4;18,8;10,4;9,6;9,1;7,2;7;7,1;7;6,4;6,3;6,4;6,8;7,6;7,3;7,4;6,5;7;6,7;6,4
RU-YAR;4,9;5,1;4,8;5,2;6;4,3;3,6;3,9;4,6;3,9;3,6;4;3,7;3,8;4,7;4,3;3,9;4,3;4,5;4,4;4,3;4,1;4,2
RU-MOW;17,9;21,2;31,2;42,4;50,3;49,7;50,5;47,5;45,3;45,7;48,3;48,3;49,2;51,9;51,1;51,7;53,9;54,1;52,8;49,8;52;53;51,5
RU-FOSZ;35,4;53,1;78,6;99,6;101,6;79,3;77,4;80,1;78,5;83;84,2;90,4;89,9;89,8;94,5;95;99,6;103,6;109,4;105,8;111;115;114
RU-KR;2,5;2,8;2,8;3,5;3,9;4,7;3,9;4,3;4,7;4,3;4,3;4,3;3,8;3,6;4,6;4,2;4,1;5;5,3;5,1;4,8;4;5,1
RU-KO;2,7;4,1;6,1;9,2;10,4;8,2;7,6;7,8;7,8;7,7;7,9;8,4;8,3;8,3;8,6;8,4;8,9;9,1;9,5;9,4;9,3;10;9,8
RU-ARK;3,8;5,5;6,3;7;7,9;5,9;5,8;5,5;5,6;5,5;5,7;6,3;6,2;6,6;6,8;7,1;7,4;7,8;7,9;7,8;8;7,7;8
RU-NEN;0;0,05;0,1;0,1;0,2;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,2;0,2;0,3;0,4;0,5;0,6;0,8;1;1,1;1,1;1,2
RU-VLG;2,1;2,5;5,2;6,2;7;5,9;5,3;5,3;5,6;6,2;6,2;5,8;6,1;5,8;6,8;6,8;7,2;7,7;7,8;6,8;7,8;7,9;7,5
RU-KGD;1;0,8;0,7;0,7;0,7;0,4;0,2;0,2;0,2;0,2;0,2;0,2;0,3;0,3;0,3;0,5;2,8;2,8;2,9;2,7;3,1;6,5;6,8
RU-LEN;8,5;19,2;34,5;42,7;37,9;26,4;26,6;31,2;27,6;31,4;30,8;35,9;35,4;35,4;36,9;37,7;37;38,5;41,5;39,1;41,8;40,9;37,9
RU-MUR;7,9;11,2;14,2;18,7;19,6;16,5;17;16,2;16,1;16,5;17,4;16,7;16,6;16,3;16,7;17,2;17,9;17,6;17,9;17,2;17,9;17,6;17,2
RU-NGR;0,6;0,5;0,6;0,6;0,9;0,8;0,8;0,8;0,9;0,9;1;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,7;0,7;0,7;1,3
RU-PSK;0,1;0,1;0,1;0,1;0,1;1,2;1,1;1,2;2,2;2,3;2,4;2,5;2,2;1,5;1,6;1,5;1,9;1,8;1,9;1,9;2,3;2;1,7
RU-SPE;6,2;6,3;8,1;11;13,2;9,3;9,1;7,6;7,8;8;8,2;9,3;10,2;11,1;11,3;10,7;11,6;12,6;13,8;15,1;15;18,2;19,1
RU-FOYU;35,83;39,41;42,31;40,91;45,71;43,201;40,2;39,301;38,601;39,3;36,6;42,101;44,401;44,901;46,501;47,601;46,401;48,601;48,401;45,601;50,5;54,5;55,8
RU-AD;0,2;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1
RU-KL;0,03;0,01;0,01;0,01;0,01;0,001;0;0,001;0,001;0;0;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,02;0,001;0,0003
RU-KDA;6,7;6,6;6,5;6,6;6,8;6,7;6,9;6,8;6,7;6,9;7;6,4;6,1;6,3;6,2;6,7;6,9;7,1;6,7;6,2;6,6;6,6;8
RU-AST;1;1;0,7;0,7;2,1;3,1;3,2;3,1;3,3;3,2;3,4;3,2;3,2;3,1;3;3,1;2,8;3;3;2,6;2,6;2,7;3,1
RU-VGG;16,9;15,2;18,4;20;20,4;18,4;15,4;16,3;17,6;17,6;15,4;17;16,6;17;18,1;18,4;16,4;18,5;16,5;16,3;15,3;15,8;16,8
RU-ROS;11;16,5;16,6;13,5;16,3;14,9;14,6;13;10,9;11,5;10,7;15,4;18,4;18,4;19,1;19,3;20,2;19,9;22,1;20,4;25,8;29,3;27,8
RU-FOPV;99,3;132,9;162;184,3;220,2;172,7;169,9;166,2;168;170,4;175,8;177,7;177;181,8;187,5;187,5;191,1;197,7;198,4;184,7;191;194;193
RU-BA;16,5;27,1;30,1;33,7;31,1;26,9;26,4;24,7;24;24;24,7;24,2;23,9;23,3;23,8;24,6;25,2;25,7;24,7;22,2;25,2;25,5;24,3
RU-ME;0,3;0,3;0,2;0,2;0,2;0,7;0,7;0,7;0,7;0,8;1;1,1;1,1;1,1;1,2;1,3;1,3;1,3;1,3;1,1;1,2;1,1;1
RU-MO;0,7;0,6;1,1;1,6;1,5;1,1;1,1;1;1,1;1,1;1;1,2;1,1;1,3;1,5;1,6;1,6;1,5;1,5;1,3;1,3;1,7;1,7
RU-TA;14,6;25,8;32,7;35,8;36,6;22,8;22,4;22,3;20,9;22,1;23,3;23;23;23,5;23,7;23,8;25;25,1;24,7;22,4;24,5;24,4;24,6
RU-UD;0,9;0,6;1,9;2,9;2,9;3,2;3,2;3;2,6;2,8;2,6;2,7;2,7;2,9;2,9;2,9;2,9;3,2;3,2;3,1;3;2,9;2,9
RU-CU;1,2;1,2;1,8;6,2;7,5;5,8;5;5,1;5,3;4,3;4,3;4,4;4,4;4,5;5,2;4,4;4,5;4,8;5,1;4,7;4,9;5;5,2
RU-PER;15,5;14,8;16,6;17,1;32,1;24,3;22,5;21,9;20,3;21,7;22,6;25;25,6;28,1;27,8;28;28,5;31,9;32,2;28,8;29,7;31,4;31
RU-KIR;3,4;3,6;2,8;3,5;5,5;4;3,9;3,8;3,7;3,8;3,6;3,6;3,7;3,6;4,1;4,3;4,5;4,6;4,7;4,8;4,3;4,2;4,3
RU-NIZ;9,3;9,2;10,8;12,1;13,4;12,7;12,2;11,8;12,1;11,3;10,5;10,3;9,5;9;10,1;10,2;10,7;10,5;11;10,7;10;9,8;9,5
RU-ORE;5,2;17;22,2;23,7;23,9;18,7;18,4;17,5;17,4;18;17,2;15,7;15,2;15,8;15,9;15,2;16;16,6;16,8;14,8;18;18,2;19,2
RU-PNZ;1,3;0,9;1,4;2;2,1;1,6;1,4;1,2;1,5;1,3;1,2;1,5;1,7;1,8;2;2;1,9;1,7;1,8;1,6;1,5;1,6;1,4
RU-SAM;20,5;21,6;27,4;30;32,2;23,7;21,8;23,5;25,7;25,5;24,6;24,3;24;24,8;25,3;25,1;24,2;25,7;25,3;23,7;21,9;21,7;22,7
RU-SAR;9,6;9,2;11,7;13,9;27,3;23,9;27,7;26,9;30,1;31,1;37,2;38,8;39;40;41,2;40,4;41,4;41,6;42,8;42,3;42,1;42,9;41,9
RU-ULY;0,2;1;1,4;1,6;3,9;3,3;3,2;2,8;2,6;2,6;2;1,9;2,1;2,1;2,8;3,7;3,3;3,4;3,3;3,2;3,2;3,3;3,1
RU-FOUR;67,6;88,1;118,5;142,5;169;122,3;118,3;121,3;121;119,3;128,7;126,3;130,4;139,1;144,7;150,2;163,6;167;173,7;167,6;176;180;185
RU-KGN;1,5;1,5;3,5;1,1;1,3;1,2;1,3;1,2;1,1;0,9;1,2;1,2;1,3;1,4;1,5;1,5;2;1,9;2;1,7;1,9;2,1;2,2
RU-SVE;34,6;47,3;58,1;67,1;60,6;39;37,6;37,2;37,9;35,8;43,7;43,2;42,7;44,8;45,2;46,2;48,8;47,1;52,6;49,4;52,4;52,2;53,8
RU-TYU;2,1;8,3;21,2;38,1;73,1;63,1;61,9;60,7;60,5;64,8;63,4;61,3;65,5;70,8;73,1;78,1;84,7;88,6;90,5;91,1;94,9;101;103
RU-KHM;0,4;6,4;17,7;32,4;61,4;52;51;50,6;50,7;55;53,5;51,7;55,8;60,3;62,1;66,4;71,3;74,4;76,1;76,8;80,2;85,2;84,7
RU-YAN;0,1;0,2;0,8;1,2;1,2;1,2;1,2;1,4;1,4;1,2;1,4;1,4;1,6;1,7;2;2,1;2,1;2,2;2,5;2,6;3,2;4;4,7
RU-CHE;27,7;28,9;33;33,1;31;19;17,5;22,2;21,5;17,8;20,4;20,6;20,9;22,1;24,9;24,5;28,1;29,3;28,6;25,4;26,7;24,9;26
RU-FOSI;116,1;159;184,3;211,7;215,9;191,2;192,4;181,6;182,2;186,9;195,2;196,7;191,3;194;195,9;199,9;206,4;206,1;213,9;203,9;211;208;213
RU-AL;0,04;0,06;0,04;0,03;0,01;0;0;0;0;0;0,001;0,002;0,002;0,004;0,002;0,003;0,002;0,01;0,01;0,003;0,003;0,003;0,003
RU-BU;0,9;1,3;4,4;5;4,6;3,4;4,4;4,4;3,8;3,4;3,2;3,5;4,6;3,5;3,6;4;4,1;4,7;5,6;4,2;4,9;4,8;5,1
RU-TY;0,2;0,2;0,1;0,1;0,1;0,04;0,02;0,04;0,04;0,04;0,04;0,04;0,05;0,04;0,04;0,05;0,05;0,05;0,06;0,1;0,1;0,1;0,1
RU-KK;0,2;0,1;4,3;16,8;21,9;27,5;21,8;25,5;20,1;21,4;25,7;27,6;19,5;24,7;26,3;24,8;27,8;21,9;21,6;19;13,6;21,4;20,9
RU-ALT;2,9;4,5;4,5;5,9;7,6;5,2;4,6;4,2;4,4;4,7;5;5,3;5,3;5,6;5,4;5,2;5,4;6,2;6,5;6,4;7,1;6,6;7,2
RU-ZAB;1,9;3,1;4;3,8;3,6;4,5;5,5;5;5,2;5,9;5,9;5,4;5,6;6,5;5,8;6,2;6;6,1;6,7;6,9;6,7;6,9;7
RU-KYA;33,8;42,3;50,4;50,7;51,8;48;51,7;48,6;47,6;47,4;50,9;50,7;48,6;51,5;52,8;52,4;54,5;57,1;59,8;59,9;61,8;57,8;56,7
RU-IRK;36,3;49;59,5;72,7;67,1;59,5;55,6;49,5;52,9;54,8;54,1;55,5;57,5;52,5;54,9;56,7;58,2;59,7;61,4;57,9;62,6;60,7;62,5
RU-KEM;18,4;31,2;30,3;26,9;28,5;25;26,9;22,7;25,6;27,5;27,2;27,1;27,9;25,6;23,5;25,8;25,7;26,3;26,2;24,2;26,7;24,7;25,2
RU-NVS;7;9,5;9,3;9,6;10,9;7,7;9,9;9,2;10,8;11,3;12,3;10,8;11,3;12,3;11,7;13,1;13;12,4;13,6;14;15,6;13,2;14,8
RU-OMS;4,9;6,4;7,1;9,8;10;7;7,9;6,7;6,8;5,9;6,2;6;6,2;6,8;6,4;6,2;6,3;6,4;7,3;6,6;6,9;6,8;7,5
RU-TOM;1,2;1,5;1,4;1,5;1,4;3,4;4,1;5,8;5;4,6;4,7;4,8;4,7;4,9;5,3;5,5;5,4;5,2;5;4,7;5,2;5;5,8
RU-FODV;14,1;21,9;30,2;38,1;47,5;38,5;37,5;35,8;35;37,2;38,8;39;38,6;38,9;40,1;40,6;41,1;40,7;41,8;41,9;45,1;46;49
RU-SA;1,3;2,8;4,3;5,5;8,5;7,2;7,9;7,3;7,1;7,4;7,6;8,1;8,1;8,1;8,3;7,7;7,7;7,3;7,7;7,1;7,3;8,2;8,5
RU-KAM;0,4;0,8;1,2;1,5;1,9;1,6;1,6;1,6;1,5;1,5;1,6;1,7;1,6;1,6;1,6;1,6;1,6;1,6;1,7;1,7;1,7;1,7;1,7
RU-PRI;4,3;6,4;8,4;11,6;11,8;8,8;7,8;7,8;7,9;8,6;8,1;8,6;9,2;9,3;9,1;9,4;9,1;8,8;9,5;8,8;9,3;10,1;10,5
RU-KHA;3,5;5,3;5,8;5,4;9,7;7,9;8,1;7,8;7,5;8,1;8,5;8,4;8,3;8,4;7,9;8;7,7;7,5;7,8;7,2;7,2;7,5;8
RU-AMU;1,4;1,9;4,4;7,1;7,8;6,8;6,1;5,6;5,2;5,7;6,9;6,1;5,5;5,9;7,4;8,2;9,3;9,7;9,5;11,6;12,8;11,7;13,5
RU-MAG;1;1,8;2,5;3;3,2;2,8;2,7;2,6;2,8;2,8;2,8;2,8;2,7;2,4;2,5;2,3;2,3;2,3;2,2;2,2;2,2;2,3;2,3
RU-SAK;1,6;2,1;2,6;3;3,4;2,7;2,7;2,5;2,4;2,5;2,7;2,7;2,7;2,7;2,7;2,7;2,8;2,9;2,8;2,8;4;4;4
RU-YEV;0,1;0,04;0,1;0,06;0,003;0,01;0,003;0;-;-;0;0;0,001;0,001;0;0,001;0;0;0;0;0;0;0
RU-CHU;0,5;0,6;0,8;1;1,2;0,7;0,6;0,6;0,6;0,6;0,6;0,6;0,5;0,5;0,5;0,6;0,5;0,5;0,6;0,5;0,5;0,5;0,5
RU-FOSK;11,9;15,9;25,9;30,9;35,7;23,39;22,03;22,72;21,12;20,26;22,5;22,7;23;20,7;22,2;22,5;22,9;23,4;24,901;24,001;25,1;24,8;24,3
RU-DA;0,6;1;2,9;2;4,5;2,8;2,8;3,8;2,9;3,5;3,7;4,3;5,1;3,9;5,2;5,1;3,9;4,7;4,8;5,4;5,5;4,3;3,9
RU-KB;0,2;0,2;0,2;0,2;0,2;0,1;0,1;0,2;0,1;0,1;0,1;0,1;0,2;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,5
RU-KC;0,6;1,1;1,2;1;1,3;0,03;0,03;0,02;0,02;0,06;0,1;0,1;0,2;0,2;0,2;0,2;1,2;1,2;1,2;1,2;1,3;1,2;1,3
RU-SE;0,4;0,4;0,4;0,3;0,4;0,4;0,4;0,4;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,4;0,4;0,4;0,4;0,3
RU-CE;3,2;3,1;3;2,6;2,8;0,06;0,1;0,1;0,1;-;-;-;-;-;0;-;-;-;0,001;0,001;0,001;0,002;0,003
RU-STA;6,9;10,1;18,2;24,8;26,5;20;18,6;18,2;17,7;16,3;18,3;17,9;17,2;15,9;16,1;16,5;17,1;16,8;18,1;16,6;17,4;18,5;18,3
