;1990;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
RU;640566;595467;601472;571062;591400;591646;583933;581443;595106;620234;632623;640801;656271;652740;665525;582799;651349;670838;654650;668000;643000;633500
RU-FOSZ;8353;3701;3688;3701;3872;3904;4067;4146;3906;3979;3961;4116;4164;4320;4567;4274;4319;4192;4403;;;
RU-KO;8229;3551;3533;3526;3672;3666;3851;3798;3459;3509;3394;3467;3431;3424;;;;;;;;
RU-ARK;95;125;139;162;186;228;206;338;436;453;551;631;717;881;;;;;;;;
RU-NEN;95;125;139;162;186;228;206;338;436;453;551;631;717;881;;;;;;;;
RU-KGD;29;25;16;14;14;10;11;11;11;17;17;17;16;... ;;;;;;;;
RU-FOYU;8480;8511;7927;9249;11668;12744;14393;15439;16055;16666;16832;17977;17942;18227;18114;14180;16262;16923;17148;;;
RU-AD;693;472;464;209;198;188;181;188;156;66;30;73;15;... ;;;;;;;;
RU-DA;801;715;702;658;670;748;739;572;590;723;735;673;603;475;;;;;;;;
RU-IN;…;3;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
RU-KL;210;131;119;109;91;77;62;57;55;68;77;93;81;78;;;;;;;;
RU-CE;1493;210;0;64;118;0;0;54;261;458;513;458;459;... ;;;;;;;;
RU-KDA;1477;1740;1739;1985;1908;1919;2418;2766;2679;2258;2369;3053;3308;3584;;;;;;;;
RU-STA;698;387;345;360;330;322;376;393;414;460;446;441;451;424;;;;;;;;
RU-AST;2115;4074;3750;5059;7575;8724;9786;10517;10891;11408;11567;11936;11898;11988;;;;;;;;
RU-VGG;591;482;530;524;488;499;559;578;549;580;663;675;677;650;;;;;;;;
RU-ROS;403;298;279;284;290;267;271;312;459;646;432;577;452;500;;;;;;;;
RU-FOPV;46127;35196;33242;31573;29928;29201;28558;27547;26676;25586;24282;23885;23587;23829;23985;23345;24379;24518;24571;;;
RU-BA;599;488;454;427;435;415;386;365;356;352;346;347;317;315;;;;;;;;
RU-TA;1269;849;806;764;736;742;757;760;726;737;748;748;750;749;;;;;;;;
RU-UD;87;65;64;62;62;60;58;54;54;56;58;70;83;83;;;;;;;;
RU-PER;627;663;707;727;727;774;790;829;863;855;875;906;956;996;;;;;;;;
RU-ORE;41941;32379;30570;29001;27327;26576;25874;24722;23769;22689;21377;21037;20684;20819;;;;;;;;
RU-SAM;724;306;289;282;274;255;263;313;344;351;371;297;282;293;;;;;;;;
RU-SAR;881;447;353;310;367;380;432;505;565;547;506;480;515;574;;;;;;;;
RU-FOUR;574170;544634;553081;522973;542030;541307;530359;526391;539916;564492;577776;585311;600881;591651;601465;512715;572295;588916;569472;;;
RU-TYU;574170;544634;553081;522973;542030;541307;530359;526391;539916;564492;577776;585311;600881;590396;;;;;;;;
RU-KHM;28973;17606;18183;18714;18706;19673;20119;20414;20844;24441;26230;27513;29245;28397;;;;;;;;
RU-YAN;545197;527028;534896;504257;523324;521632;510234;505969;519063;540041;551531;557776;571615;561979;;;;;;;;
RU-FOSI;201;122;128;153;535;1121;3005;4135;4877;5889;6184;5987;5840;6272;6423;6274;6424;7237;8407;;;
RU-KYA;0;0;0;0;381;413;401;385;389;535;713;756;982;1190;;;;;;;;
RU-IRK;0;0;0;0;0;0;6;23;31;41;52;79;69;126;;;;;;;;
RU-NVS;0;0;0;0;0;0;0;0;0;36;69;96;132;237;;;;;;;;
RU-OMS;0;0;0;0;2;2;3;9;12;13;12;16;19;32;;;;;;;;
RU-TOM;201;122;128;153;152;707;2595;3720;4444;5264;5338;5041;4638;4686;;;;;;;;
RU-FODV;3234;3303;3406;3413;3367;3369;3551;3785;3678;3622;3588;3525;3856;8441;10972;20701;26505;28086;29757;;;
RU-SA;1402;1666;1624;1577;1552;1602;1628;1623;1612;1604;1647;1566;1633;1615;;;;;;;;
RU-KAM;0;0;0;0;0;0;7;8;9;9;8;9;10;... ;;;;;;;;
RU-SAK;1832;1637;1782;1836;1815;1767;1915;2154;2057;2009;1933;1950;2186;6790;;;;;;;;
RU-CHU;0;0;0;0;0;0;0;0;0;0;0;0;28;... ;;;;;;;;
RU-FOSK;;;;;;;;;;;;;;;;1310;1165;966;892;;;
