;;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
PROM;Промышленное производство;100;84;72,492;56,833728;54,21937651;50,0987039;50,59969094;48,17090577;52,45811638;57,02197251;58,67560971;60,49455361;65,87856889;71,1488544;74,77744597;79,48842507;84,89363797;85,4029998;76,26487882;81,83221497;85,92382572;88,8452358;89,20061674;90,71702723;87,6326483
IZN0;из него:;;;;;;;;;;;;;;;;;;;;;;;;;
DPI;добыча полезных ископаемых;100;88,2;79,0272;72,705024;70,74198835;68,6197287;68,75696816;67,17555789;69,86258021;74,33378534;78,79381246;84,15179171;91,47299759;97,69316142;99,06086568;101,8345699;105,1951107;105,6158912;102,6586462;106,5596748;108,4777489;109,5625264;110,7677142;112,3184622;112,6554176
IZN1;в том числе:;;;;;;;;;;;;;;;;;;;;;;;;;
DPIT;добыча топливно-энергетических полезных ископаемых;100;94,7;86,3664;80,320752;77,75048794;76,42872964;76,73444456;75,89036567;76,95283079;80,7235195;85,64765419;91,89993294;101,365626;109,1707792;111,3541948;114,3607581;117,4484986;117,5659471;116,2727216;120,4585396;121,9040421;122,7573704;123,8621867;125,5962573;125,5962573
DPIO;добыча полезных ископаемых, кроме топливно-энергетических;100;71;59,498;52,536734;52,06390339;47,84672722;47,51180013;43,99592692;50,81529559;60,06367939;57,78125957;57,26122824;58,69275894;63,68164345;62,21696565;64,83007821;67,42328134;68,16493743;57,19038251;59,99271125;63,95223019;66,12660602;67,64751796;68,72987824;70,24193557
OBRB;обрабатывающие производства;100;81,8;69,2028;50,3796384;47,45761937;42,56948458;43,42087427;40,72878006;45,94206391;50,94974888;51,96874386;52,54040004;57,95206124;64,03702767;68,90384178;74,69176449;82,53439976;82,94707176;70,33911685;77,79506323;84,01866829;88,30362038;88,74513848;90,60878639;85,71591192
IZN2;в том числе:;;;;;;;;;;;;;;;;;;;;;;;;;
PISC;производство пищевых продуктов, включая напитки, и табака;100;80;70,8;56,7108;50,189058;46,726013;46,44565692;46,07409166;51,87942721;54,62903686;58,99935981;63,24731371;67,61137836;70,58627901;75,24497342;80,73785648;86,63172;88,27772268;88,54255585;91,37591764;94,93957843;98,83210114;99,42509375;101,9107211;103,9489355
TEX;текстильное и швейное производство;100;71,9;56,7291;31,201005;22,02790953;17,26988107;17,63254857;16,27484233;18,76489321;23,43735162;25,26546505;24,63382842;24,92943436;23,93225699;24,79381824;27,71948879;27,58089135;26,09152321;21,89078798;23,81717732;24,00771474;24,17576874;25,2153268;24,58494363;21,70850522
KOZH;производство кожи, изделий из кожи и производство обуви;100;78;60,84;30,60252;20,77911108;15,16875109;13,42434471;10,59180798;14,21420631;15,29448599;17,38983057;19,37227125;21,60008245;21,47048195;21,51342291;26,24637596;26,8500426;26,76949248;26,36795009;31,61517216;33,41723697;32,78230947;31,33988785;30,46237099;26,9896607
DREV;обработка древесины и производство изделий из дерева;100;78,7;65,7932;44,1472372;40,7037527;32,60370591;30,77789838;29,48522665;32,78757203;37,41061969;36,4753542;38,00731907;41,69402902;45,32140955;48,53922963;50,28664189;54,2592866;54,20502732;41,68366601;47,26927725;52,09074353;50,11129528;54,1201989;51,25182836;49,50926619
ZBP;целлюлозно-бумажное производство, издательская и полиграфическая деятельность;100;88;73,04;57,7016;62,6639376;54,20430602;54,69214478;57,6455206;68,77110607;81,14990516;88,94029606;92,5868482;99,80862236;104,8988621;108,6752211;115,9564609;125,5808472;125,9575898;105,930333;109,2141733;116,3130946;123,0592541;116,6601728;117,1268135;109,7478243
COX;производство кокса и нефтепродуктов;100;82,8;71,622;62,024652;62,27275061;61,4009321;60,84832371;55,85876117;58,81927551;60,23093812;61,91740439;64,76560499;66,1904483;67,77901906;70,7612959;75,43154143;77,54362459;79,71484607;79,236557;83,99075042;87,18239893;89,8850533;91,95240953;97,19369687;97,48527796
