;;1970;1980;1990;1995;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012
TRO;Троллейбусы, шт.;2083;1929;2308;340;498;657;493;376;369;812;530;651;778;773;406;236;390
GAV;Грузовые автомобили, тыс. шт.;445;663;665;142;184;173;173;193;200;205;245;285;256;91,7;155;207;212
DAV;в том числе с дизельными  двигателями;...;...;151;44,9;45,3;44,3;37;39,7;51,9;66,2;87,5;112;104;43,6;…;…;…
LAV;Легковые автомобили, тыс. шт.;257;1166;1103;835;969;1022;981;1012;1110;1069;1178;1294;1470;600;1210;1740;1964
AVT;Автобусы, тыс. шт.;35,1;55,1;51,9;39,8;54;56,5;66,7;76,2;75,7;78,2;88,7;88,9;66,5;32,7;40,9;44,2;58
PRI;Прицепы и полуприцепы  тракторные, тыс. шт.;189;223;213;5,1;5,2;5,2;3,7;3,4;3,9;5;6,4;10,7;10,6;4,6;9,2;10,6;9,8
TEP;Тепловозы магистральные, секций;95;67;46;12;21;22;23;23;32;45;45;59;49;35;33;39;42
GVG;Грузовые магистральные вагоны, тыс. шт.;28,6;31,4;25,1;7,1;4;6,5;10,7;27;35,3;35,2;33,7;38,6;42,7;23,6;50,5;63;71,7
PVG;Пассажирские магистральные вагоны, шт.;1257;1348;1225;489;802;859;867;1025;1211;1221;1557;1886;2143;1399;1234;1180;880
VME;Вагоны метрополитена, шт.;250;309;307;202;32;116;148;142;143;262;252;257;246;239;…;…;…
VEL;Велосипеды (без детских), тыс. шт.;2153;2866;3671;563;639;514;509;416;341;236;1048;1513;1434;398;1288;1533;1674
DVE;Детские велосипеды, тыс. шт.;1671;2737;3708;377;376;435;340;191;128;61;41,4;40,1;51,1;24,6;…;…;…
