UGL;Добыча угля, млн.т;21
NEFT;Добыча нефти, включая газовый конденсат, тыс.т;21
GAZ;Добыча природного газа, млн куб.м;21
MRS;Производство металлорежущих станков, шт;21
MET;Производство основных продуктов металлургии;22
MASH;Производство некоторых видов машин и оборудования;22
ERE;Производство первичных энергоресурсов, млн.т усл.топлива;22
TRS;Производство основных видов транспортных средств;22
MYA;Производство мяса, тыс.т;22
EDA;Производство пищевой продукции;22
IPP;Индексы промышленного производства к 1991 году;22
EE;Электроэнергетика;11
