;2012;2013;2014
RU;31756;30529;30791
RU-FOCE;5784;5494;5393
RU-BEL;557,7;542,7;544,2
RU-BRY;350,7;332;312,7
RU-VLA;359,7;346,6;345,1
RU-VOR;742,4;755,9;788,5
RU-IVA;163,3;150,6;149,2
RU-KLU;234;219,7;228,3
RU-KOS;121;111,3;106,9
RU-KRS;394,2;359,4;325
RU-LIP;275,1;253,3;248,1
RU-MOS;693;643,9;637,4
RU-ORL;229,3;214,7;191,6
RU-RYA;370,5;354,9;365,1
RU-SMO;325,8;298,3;235,6
RU-TAM;221,1;221,6;223,8
RU-TVE;250,8;223,2;212,6
RU-TUL;192,9;173,1;176,7
RU-YAR;261,1;263,3;272,4
RU-MOW;41,6;29,6;30,1
RU-FOSZ;1776;1685;1709
RU-KR;65,6;62,9;66,1
RU-KO;61,7;57,5;56,6
RU-ARK;118,4;113;114,7
RU-NEN;3,2;3,1;3,2
RU-VLG;461,9;430,2;444,6
RU-KGD;148,6;148,8;156,2
RU-LEN;569,7;556,7;567,8
RU-MUR;27,9;27,2;22
RU-NGR;97,8;87,9;82,2
RU-PSK;221,1;197,4;195,4
RU-FOYU;3374;3305;3280
RU-AD;112,7;113,9;115,3
RU-KL;102,2;91,3;88
RU-KDA;1389;1319;1302
RU-AST;170,1;171,4;172
RU-VGG;521,2;529,6;523
RU-ROS;1079;1079;1080
RU-FOSK;2639;2676;2726
RU-DA;732,6;755,3;791,9
RU-IN;75,4;67,9;66,7
RU-KB;444,5;451,4;461,6
RU-KC;238,5;242;237
RU-SE;222;217;219,1
RU-CE;261,2;261,2;262,8
RU-STA;665,3;681,3;686,8
RU-FOPV;9950;9481;9467
RU-BA;1710;1711;1773
RU-ME;197,5;194,3;195,8
RU-MO;467,5;452;408,8
RU-TA;1883;1712;1728
RU-UD;711,2;711,7;724,1
RU-CU;457,6;422,8;420,9
RU-PER;484,9;460,9;472,3
RU-KIR;534,9;523,8;541,8
RU-NIZ;611,7;611,9;619,8
RU-ORE;829,4;815,3;811
RU-PNZ;411;350,2;326,7
RU-SAM;418,8;421,4;434,9
RU-SAR;964,4;826,4;777,4
RU-ULY;267,5;267,4;232,5
RU-FOUR;2078;2024;1998
RU-KGN;354,1;343,5;300,3
RU-SVE;605,9;613,6;652,5
RU-TYU;567;544,1;531,9
RU-KHM;24,1;25,9;27,4
RU-YAN;2,1;2;2,1
RU-CHE;524,8;494,7;484,1
RU-FOSI;5583;5299;5389
RU-AL;92,1;92,7;91,6
RU-BU;227,9;223,2;208,7
RU-TY;62,1;62,6;61,6
RU-KK;192;190,3;191,3
RU-ALT;1444;1364;1415
RU-ZAB;327,7;335,9;344,6
RU-KYA;726,9;708,1;724,5
RU-IRK;451,7;458,1;467,4
RU-KEM;382,5;368,9;375,9
RU-NVS;713,1;654,2;660,5
RU-OMS;797,6;696,9;709,4
RU-TOM;165,2;144,3;138,8
RU-FODV;571,8;565,2;536,4
RU-SA;177,6;170,4;168,4
RU-KAM;17;17,2;17,5
RU-PRI;113,2;119,5;118,6
RU-KHA;50,6;46,5;43,4
RU-AMU;161,8;165,1;143,6
RU-MAG;5,9;5,9;5,9
RU-SAK;25,8;26,2;27,6
RU-YEV;19,9;14,3;11,5
RU-CHU;0;0;0
