;2012;2013;2014
RU;8090;8544;9070
RU-FOCE;2562;2943;3074
RU-BEL;1021;1171;1195
RU-BRY;121,4;144,7;187,9
RU-VLA;51,1;56,5;51,9
RU-VOR;223,9;253,1;216,1
RU-IVA;27,3;25,7;14,3
RU-KLU;59;68,5;70,3
RU-KOS;21,1;19,4;15,9
RU-KRS;120,6;217,7;294,2
RU-LIP;172,8;202,9;218
RU-MOS;215,5;208,9;184,7
RU-ORL;70,4;72,8;82,1
RU-RYA;54,3;48,8;44,9
RU-SMO;37,2;41,3;52,9
RU-TAM;141,9;192,1;240,8
RU-TVE;86,3;80,1;72,7
RU-TUL;71,2;70,9;62,1
RU-YAR;56,7;58;60,5
RU-MOW;9,6;10,6;10,2
RU-FOSZ;522,6;534,4;576,1
RU-KR;8,6;8,2;8,3
RU-KO;20,4;19,7;20,4
RU-ARK;28,5;25,2;25
RU-NEN;1,8;1;1,5
RU-VLG;43,5;37,8;33,7
RU-KGD;46,3;50,3;53,2
RU-LEN;226,9;250,5;260,4
RU-MUR;12,5;10,2;7,2
RU-NGR;100,3;88;97,1
RU-PSK;33,8;43,6;69,5
RU-FOYU;959,7;833,2;872,2
RU-AD;52,9;50,2;52,2
RU-KL;51,9;53,7;61
RU-KDA;411,8;336,3;339,7
RU-AST;32,5;32,3;35,4
RU-VGG;145,6;142,5;151
RU-ROS;265,1;218,1;232,9
RU-FOSK;477,7;507,7;533,2
RU-DA;101,5;105,7;120,7
RU-IN;3,2;3,2;3
RU-KB;56,9;57,9;66,5
RU-KC;32,2;29,2;26,3
RU-SE;37,5;37,5;38,8
RU-CE;21,2;21,7;22,2
RU-STA;225,2;252,5;255,8
RU-FOPV;1706;1792;1887
RU-BA;221,6;229,3;252,3
RU-ME;90;119,6;165,5
RU-MO;103,9;123,5;152
RU-TA;302,5;318,1;308,1
RU-UD;109,5;113,3;113,5
RU-CU;72,6;66,9;65,9
RU-PER;78,2;75,7;77,4
RU-KIR;54,9;54,5;54,5
RU-NIZ;88,9;95,2;94,2
RU-ORE;139,1;135,6;148,2
RU-PNZ;142,2;162,4;171,4
RU-SAM;96,2;103,3;105,9
RU-SAR;147,1;140,6;131,5
RU-ULY;59,5;53,9;46,5
RU-FOUR;589,1;642;698
RU-KGN;45,6;47,1;51
RU-SVE;161,3;178,9;185,8
RU-TYU;105,8;107,7;107,1
RU-KHM;9;9,8;10,4
RU-YAN;5,1;4,8;4,3
RU-CHE;262,4;293,7;339,5
RU-FOSI;1145;1158;1162
RU-AL;27,3;29,1;29,7
RU-BU;30,2;33,7;45,3
RU-TY;12;12,1;12,2
RU-KK;33,4;33,6;30,8
RU-ALT;233,1;236,8;241,9
RU-ZAB;48,4;47,3;49,5
RU-KYA;150,5;147,7;128,7
RU-IRK;97,2;97,6;99,6
RU-KEM;87,7;89;88,9
RU-NVS;158,3;155,4;165,7
RU-OMS;190,2;190,5;182,3
RU-TOM;76,8;85,7;87,5
RU-FODV;128,4;134;130,9
RU-SA;24,5;24,6;22,3
RU-KAM;2,3;3,3;3,3
RU-PRI;39,8;36,3;36,2
RU-KHA;22;21,7;21,2
RU-AMU;32,1;41,4;41,3
RU-MAG;0,4;0,4;0,4
RU-SAK;3;2,9;2,9
RU-YEV;2,9;2,6;2
RU-CHU;1,2;0,7;1,2
