;2012;2013;2014
RU;42033;41286;41860
RU-FOCE;8773;8499;8618
RU-BEL;1438;1215;1300
RU-BRY;314,2;343,3;406,4
RU-VLA;569,8;522,8;535,1
RU-VOR;785,5;856,9;930,6
RU-IVA;371,7;390,2;399,5
RU-KLU;116,5;126,2;122,8
RU-KOS;645,6;672,9;702,8
RU-KRS;237,3;223,7;178,6
RU-LIP;590,7;579,1;579,1
RU-MOS;249,5;251,4;239
RU-ORL;163,2;154,5;156
RU-RYA;740,2;736,7;733,7
RU-SMO;274,7;313,8;272,3
RU-TAM;227,9;187,6;170,8
RU-TVE;94,3;85,1;82,1
RU-TUL;516,8;351,7;283,4
RU-YAR;1404;1458;1504
RU-MOW;33,3;30,2;22
RU-FOSZ;4636;4449;4327
RU-KR;10,2;8,4;5,7
RU-KO;133,3;117,9;124,7
RU-ARK;212,6;107,4;166,1
RU-NEN;0;0;0
RU-VLG;690,5;590,7;470,5
RU-KGD;181,2;195,5;179,6
RU-LEN;3092;3170;3115
RU-MUR;38,9;24,6;9,5
RU-NGR;205,3;177,4;205,7
RU-PSK;71,6;57,3;50,3
RU-FOYU;4576;4465;4417
RU-AD;52,5;52,6;52,7
RU-KL;26,6;23;21
RU-KDA;1679;1485;1399
RU-AST;256,9;279,9;285,6
RU-VGG;778,3;734;754,8
RU-ROS;1783;1890;1903
RU-FOSK;1473;1467;1431
RU-DA;175,6;188,9;218
RU-IN;7,8;9,5;10,7
RU-KB;176,8;182,1;182,6
RU-KC;97,8;93,5;87,3
RU-SE;124,9;129,3;127,5
RU-CE;73;67,5;97,5
RU-STA;817,2;796,4;707,9
RU-FOPV;10989;10672;10560
RU-BA;1153;1116;1043
RU-ME;323,5;334,8;327,5
RU-MO;1324;1329;1379
RU-TA;1121;1074;1105
RU-UD;898,3;905,2;939,5
RU-CU;350,2;337,6;260,6
RU-PER;1001;915,3;1001
RU-KIR;446,9;406,7;429
RU-NIZ;1274;1343;1329
RU-ORE;1134;1045;1090
RU-PNZ;369,8;356,3;292,6
RU-SAM;195,7;165,2;127,8
RU-SAR;907;947,4;916,7
RU-ULY;489,9;397,5;318,9
RU-FOUR;4223;4331;4420
RU-KGN;132;113,8;107
RU-SVE;1321;1388;1398
RU-TYU;1388;1391;1412
RU-KHM;26,2;34,7;32,7
RU-YAN;0,4;0,1;0,1
RU-CHE;1355;1404;1470
RU-FOSI;6178;6253;6333
RU-AL;13,3;12,8;12,3
RU-BU;71,9;72,4;74,8
RU-TY;1,9;2,3;1,9
RU-KK;98,7;88,6;84,3
RU-ALT;1071;1028;1088
RU-ZAB;65,9;62,1;59,2
RU-KYA;858,6;838,3;790,8
RU-IRK;930,2;938,8;971,6
RU-KEM;814,1;952,2;1083
RU-NVS;1324;1341;1254
RU-OMS;789,8;794,9;795,8
RU-TOM;138,9;122,3;118,1
RU-FODV;1185;1149;1191
RU-SA;129,8;136,5;136,6
RU-KAM;45;40,4;45,6
RU-PRI;329,5;282,3;302,6
RU-KHA;292;304,8;314,5
RU-AMU;231;239,4;240,1
RU-MAG;21,1;23;24,4
RU-SAK;108,8;109,8;114,7
RU-YEV;25,1;11,6;10,7
RU-CHU;2,4;1,2;1,8
