;1990;2000;2005;2006;2007;2008;2009;2010;2011;2012
RU;2140,1;1046,8;1273,3;1311,6;1344,6;1304,4;1108,8;1312;1381,7;1421,1
RU-FOCE;368,3;188,1;212;217,4;217,5;198,7;168,9;197,5;211;223,8
RU-BEL;42,1;39,1;43,6;45,1;46,5;40,5;38,4;47,9;56,8;57,1
RU-BRY;12,9;7,7;8,3;7,2;7,9;6;4,5;18,5;21,4;27,6
RU-VLA;14,1;3,4;3,4;3;3,2;3,3;1,8;2,2;2;2,2
RU-VOR;26,3;13,9;14,9;15,2;15,5;14,2;12,6;11,2;11,1;11,4
RU-IVA;4,5;1,4;1,3;1,5;1,9;2,1;1;1;1,1;1,1
RU-KLU;9,2;3,2;2,9;2,8;2,5;2,1;1;1,4;1,1;1,2
RU-KOS;5,5;2,3;2,5;2,4;2,2;2,2;1,3;2;1,9;1,6
RU-KRS;28,5;17,7;18,8;21,9;21,9;20,1;17,6;17,7;19;20
RU-LIP;36,3;21,4;23,4;25,1;26,7;25;20,9;21,8;22,1;26,1
RU-MOS;45,5;15,8;18,5;17,6;16,6;15,5;11;12,1;12,2;12,2
RU-ORL;4,7;1;1,5;1,5;1,2;1;1,3;1;1,1;1,4
RU-RYA;21,8;11,5;15,7;15,5;14,1;13,9;12,8;14;14,5;14,5
RU-SMO;13,4;7,4;8,9;8,7;8,9;7,4;5,9;8,3;9,7;10,9
RU-TAM;8,4;5;6,4;6,7;5,8;5,7;6,7;4,9;4,1;3,5
RU-TVE;14,3;3;2,3;2,7;3,2;3;1,5;1,9;1,6;1,5
RU-TUL;40,9;12,6;15,5;16,5;15,5;14,7;11,7;11,7;11,2;11,6
RU-YAR;26,3;14,8;15,8;15,9;16;14,7;13,4;13,9;14;14,6
RU-MOW;13,6;6,7;8,2;8;7,9;7,3;5,4;6,1;6,1;5,3
RU-FOSZ;295,7;143;160,7;161,4;162,6;154,9;129,9;153,3;162,5;166
RU-KR;25,5;14,7;18,7;19,3;20,8;22,3;18,7;20,2;23,7;26,7
RU-KO;55,7;24,9;22,6;23,3;21,1;18,7;17,5;20,7;19,9;20,6
RU-ARK;23;9;16;15;14,6;12,9;10,3;11,8;12,3;11,6
RU-VLG;30,7;15,5;17,6;18,3;19,6;18,6;14,2;17,6;18,9;18,2
RU-KGD;9,1;1,8;2,2;2;2,1;2,4;2;3,2;3,7;3,7
RU-LEN;76,6;39,5;41;40,1;41;39,7;32;35,9;36,9;37,7
RU-MUR;47,2;24,6;27;27,2;27,8;25,2;23,9;28,2;28,2;28,3
RU-NGR;10;4,9;6,3;6,4;6,1;6,2;5,2;5,6;5,9;5,8
RU-PSK;3,6;1,7;2,6;2,8;1,8;1,3;0,8;3,8;5,5;5,8
RU-SPE;14,3;6,4;6,7;7;7,7;7,6;5,2;6,3;7,5;7,6
RU-FOYU;161,8;65,6;80,5;81,6;86;86,5;69,3;101,6;109,1;111,1
RU-AD;0,7;0,2;0,6;0,6;0,6;0,5;0,5;1,3;2,2;1,9
RU-KL;0,2;0,1;0,1;0,1;0,1;0,1;0,1;0;0;0
RU-KDA;50,7;19;27,5;30,4;34,1;32,9;30,4;36,9;40;39
RU-AST;8,1;9,6;10,3;9,5;9,5;8;5,9;24,8;25,9;27,1
RU-VGG;29,1;13,9;20,3;18,7;16,8;17,6;16,4;16,1;16;17
RU-ROS;73;22,8;21,8;22,3;24,9;27,4;16,1;22,5;25;26,1
RU-FOSK;61,8;13,3;20;21;22,8;21,2;17,4;16;17,4;16,9
RU-DA;11,3;2,8;1,9;2,1;2,4;2,7;1,8;2,2;2,7;3,1
RU-IN;12,5;0,04;0,2;0,2;0,2;0,2;0,1;0,1;0,1;0,1
RU-KB;2;0,9;0,8;1;1,3;1,3;0,8;0,5;0,6;0,8
RU-KC;4,9;1,3;2,2;2,9;2,9;2,2;2,6;2,9;2,8;2,5
RU-SE;4,7;1,6;2,2;2;2,1;2;1,4;1,7;1,6;1,6
RU-CE;…;0,2;2,2;2,2;2,4;2,2;1,6;1,2;0,9;0,8
RU-STA;13,9;6,6;10,4;10,5;11,5;10,6;9,1;7,5;8,7;8
RU-FOPV;343,4;144,6;191,4;197,7;209;201,2;167;191,2;193,7;199,9
RU-BA;52,8;23,3;29,4;31,9;33,3;33,1;28,4;28,9;29,4;30,5
RU-ME;1,3;0,4;1;1,1;1,6;1,4;1,4;1,6;1,6;1,6
RU-MO;6;2,1;3,5;3,5;3,4;3,2;2,9;3,6;3,1;3,3
RU-TA;19,8;10;10,9;10,8;11;10,3;9,4;10;11,7;16,3
RU-UD;12,4;3,8;4,1;4,6;5;5,4;4,4;5,2;4,3;4
RU-CU;4,2;0,8;1,3;1,3;1,3;1,1;0,8;1;1;1
RU-PER;63,3;34,4;42,3;42,5;45,1;43,1;31,9;40,8;40,1;38,9
RU-KIR;16,6;7,4;8,9;8,6;8,4;8,1;6,1;7,1;7;6,7
RU-NIZ;38,7;8,8;18,1;19,5;20,8;20,2;17,5;19,5;18,5;16,9
RU-ORE;41,7;20,9;28,1;30,3;33,9;34,6;29,7;33,2;34,8;37,7
RU-PNZ;4,6;1,6;1,8;1,5;1,3;1,1;0,8;1,1;1,2;1,3
RU-SAM;39;17,7;24,1;23,9;24,8;22,1;20,1;21,5;23,2;23
RU-SAR;32,7;10,4;14,7;14,7;15,5;14,7;10,7;14,2;13,9;14,6
RU-ULY;10,3;3;3,2;3,4;3,6;2,7;3;3,5;3,8;4,1
RU-FOUR;260,8;123,8;144,4;152,2;159,8;149,6;115,5;131,1;158,5;186,8
RU-KGN;4,1;2,2;2;2,2;2,1;1,8;1;1,6;10;19,4
RU-SVE;139,8;66,4;71,1;75;77,6;73,1;55,3;60,6;62,1;65
RU-TYU;19,6;10,4;17,7;19,6;19,3;19,1;18,7;22;24,5;26,4
RU-KHM;...;6;9,4;9,7;9,8;10,1;9,5;9,9;10,5;11,7
RU-YAN;...;2,1;4;5,5;5,2;4,4;4,6;5,4;6;6,3
RU-CHE;97,3;44,8;53,7;55,5;60,8;55,6;40,5;46,9;62;76
RU-FOSI;547,3;318,5;403;418,8;422,3;430,1;392,6;418,7;428,6;436,2
RU-BU;12,9;6,5;8,1;8,8;8,8;9;7,4;9,9;13,4;14
RU-KK;17,4;8,9;12,8;12,6;13,6;14,1;13,4;14,2;15,1;15,7
RU-ALT;20,5;7;8,8;8,5;10;9,8;8,2;16,1;18,3;18,6
RU-ZAB;20,9;14,7;13,2;14,3;13,4;12,4;10,4;12,2;12,4;10,9
RU-KYA;86,1;45,2;47,3;53,1;54,9;62,6;50;54,1;52,7;53,2
RU-IRK;104,1;50,7;68,1;68,7;66,7;67,2;59,6;64,5;59,3;59,3
RU-KEM;237,9;163,9;212,8;220,2;221,5;221,2;215,3;214,7;222,4;226,6
RU-NVS;25,4;9,1;15,1;14,6;14,9;15,6;11,3;14;15,6;17,3
RU-OMS;16,2;10,7;14;14,6;15,3;15,5;14,8;16,7;17,1;18,5
RU-TOM;5,9;1,8;2,6;3,4;3,3;2,7;2,1;2,4;2,3;2,1
RU-FODV;113,5;42,8;58,1;58,1;61,2;60;46,2;68;71,9;73,5
RU-SA;13,5;8,4;10,2;10,8;11;11,3;5,8;8,4;9,3;10,1
RU-PRI;34,5;11,5;13,8;14,5;16,7;17,1;12,6;14,5;15,8;15,2
RU-KHA;27,1;13,3;20;19,8;21,5;20,7;18,5;20,2;20,7;22,3
RU-AMU;22,3;5,8;8,8;8,4;7,8;6,7;6,3;21,5;22,4;22,6
RU-SAK;11,1;2,2;3,4;3;2,7;2,7;2,4;2,5;2,6;2,3
RU-YEV;5;1,6;2;1,6;1,5;1,5;0,7;0,9;1;1
