;;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
VS;всего;49532,5;47884,5;48112,9;46285,2;44943,7;45360,9;45822,2;45154,5;45344,3;44854,1;44000,5;42624;40098,9;39119,6;30128,4;26647,3;25314,8;24957,4;22850,4;22042,6;21891,3;21347,1;19625;19545
ZD;железнодорожный;2676,6;2372,3;2323,5;2062;1833;1662,6;1599,6;1471,3;1337,5;1418,8;1305,9;1270,7;1303,5;1335,1;1338,7;1338,6;1281,9;1295,6;1136,9;946,5;993,1;1058,8;1080;1076
AVT;автобусный (включая маршрутные таксомоторы);27302;24874,2;24123,7;23438;22817,1;23185;23664,7;23102,8;22882,5;23001,1;22462,2;21920,6;20912,3;21018,3;16374;14733,6;14794,9;14717,8;13704,4;13433,7;13304,9;12766,2;11587;11554
TAX;таксомоторный;525,6;265,7;139,3;98,4;66;43,4;33,1;24,1;19,8;15,5;12,8;12,3;10,1;10,3;6,4;7,2;7,7;7,3;6,6;8,1;4,8;6,3;4;9
TRA;трамвайный;7619,5;8070,6;8125,2;7644,4;7539,9;7526,6;7495,3;7506,3;7817,8;7421,2;7353,5;6982,3;6321;5803,8;4123,4;3267,1;2660,3;2537,2;2216,6;2078,7;2003,6;1928,3;1629;1551
TRO;троллейбусный;8004,9;8619,1;9101,6;8751,3;8474,6;8720,7;8848,5;8860,3;9077,1;8759,3;8604,3;8181,1;7290,8;6679,7;4653,1;3774,6;2971,9;2733;2414;2205,7;2152,2;2051,2;1735;1803
MET;метрополитенный;3229;3567,5;4212,1;4224,4;4149,9;4173,3;4128,2;4146,2;4162,2;4186,4;4204,6;4199,5;4204,7;4210,6;3574,3;3465,7;3528,4;3593,7;3306,6;3293,7;3351,3;3445,6;3491;3437
MOR;морской;13,7;8,7;6,3;4,4;3,4;2,2;1,6;1,3;1,2;1,1;0,8;0,7;1,2;1,1;1,3;1,4;1,4;1,4;1,5;1,5;1,3;1,1;0,5;7
VVT;внутренним водный;75,2;43,8;39,7;28,5;26,8;19;25;18,9;23,8;27,7;30;28,8;24,4;25,5;20,7;19,6;21,5;19,9;17,2;16,1;14,2;13,7;13;13
VT;воздушный (с 2000 г. включая перевозки пассажиров нерегулярными перевозчиками);86;62,6;41,5;33,8;33;28,1;26,2;23,3;22,4;23;26,4;28;30,9;35,2;36,5;39,5;46,8;51,5;46,6;58,6;66;76,1;86;95
