;2000;2005;2006;2007;2008;2009;2010;2011;2012
RU;10,6;7,1;7,1;6;6,2;8,3;7,3;6,5;5,5
RU-FOCE;7,8;4,3;4;3,1;3,6;5,8;4,6;4,1;3,1
RU-BEL;6,1;5,9;5,6;4,3;3,9;4,7;5,2;4,3;3,7
RU-BRY;13,4;6,8;6,8;6,4;6,5;10,7;8;7,1;5,1
RU-VLA;12;9;10,8;6,7;5,7;8,7;6,1;5,7;4,4
RU-VOR;10,1;7,6;5,4;5,2;5,2;8,6;7,5;6,4;5,5
RU-IVA;10,4;6,9;4,2;4,3;5,2;10,8;7,6;6,6;6,3
RU-KLU;8,8;5,6;5,6;5;4,6;6,1;6,7;5,6;4,3
RU-KOS;8,8;4,9;4,9;3,3;4,9;8,2;6;5,1;4,8
RU-KRS;10,5;7,2;7,2;4,9;6,3;8,8;8,2;6,3;5,1
RU-LIP;8,7;8,2;4,9;2,7;5;5,6;4,5;4,9;3,6
RU-MOS;7,8;3,2;3;2;2,7;4,8;3,3;3,7;2,9
RU-ORL;8,6;6,3;5,9;5,5;6;9,8;8,9;6,3;5,3
RU-RYA;9,5;5,2;4,9;3,7;5,4;9;8,4;7,2;4,6
RU-SMO;12,3;7,7;8,1;6,7;7;7,8;7,4;7,6;5,7
RU-TAM;8,3;8,6;8,7;9,2;9,1;9,1;7,8;6,6;4,9
RU-TVE;9,1;5,8;4,5;4,1;5,1;7,7;6,6;6;5
RU-TUL;10;5;2,8;2,6;3,4;6;5,8;5,3;4,6
RU-YAR;7,4;3,9;2,9;3,4;5,8;7,9;7,5;5,1;3,4
RU-MOW;3,9;0,8;1,6;0,8;0,9;2,8;1,8;1,4;0,8
RU-FOSZ;9,6;5,4;4,9;4,1;5;6,9;5,9;5,1;4
RU-KR;11,3;8,8;3,3;5,9;8,2;9,6;9,3;8,4;7
RU-KO;12;11,1;12,1;10,2;7,1;11,4;10,1;8,2;6,4
RU-ARK;12,4;5,5;5,8;5,4;6,8;7,2;6,9;5,9;5,4
RU-NEN;11;10,6;5,5;6,5;7,9;9,5;6,5;8,7;6,9
RU-VLG;8,3;5,2;5,4;4;5,6;7,8;7,8;7,3;5,8
RU-KGD;15,6;6,5;4,4;3,4;8,6;10,9;10,3;9,1;7,4
RU-LEN;9,6;7,2;5,8;3,9;6;6,9;5,2;4,3;3,2
RU-MUR;13,4;8,7;6,7;6,3;6,6;7,5;8,6;8,6;7,7
RU-NGR;7,6;5,8;5,5;5,3;4,9;6,1;5,6;4,9;4,1
RU-PSK;11,7;6,3;7,2;4,8;6,5;11;9,5;9,3;6,6
RU-SPE;6,2;2,2;2,4;2,1;2;4,1;2,6;2;1,1
RU-FOYU;12,9;8,4;8,2;7;6,4;8,6;7,6;7;6,2
RU-AD;14,3;13;13,9;10,3;7,3;7,7;9,3;8,4;8,1
RU-KL;20,7;18;16,9;14,5;15,8;16,5;14,8;14,2;13,1
RU-KDA;12,8;7,4;7,1;6,6;4,7;7,2;6,7;5,9;5,6
RU-AST;11,5;12,2;7,9;8,7;7,4;9,9;8,2;8,8;7,9
RU-VGG;9,5;6,7;8,6;6,3;8,2;10,3;8;6,9;6
RU-ROS;15;8,5;8,1;6,7;6,4;8,4;7,7;7,3;6
RU-FOSK;20,4;17,1;22,6;19,2;15,7;16;16,5;14,5;13,1
RU-DA;26,5;22,1;22,1;20,2;13,2;13,2;14,8;12,7;11,7
RU-IN;30,3;63,1;57,8;46,6;53,3;53,2;49,7;48,1;47,7
RU-KB;16,9;23,9;20,8;18;17,8;14,6;12,7;10,5;8,9
RU-KC;21,5;13,8;19,2;18,1;15,9;12;10,3;9,8;8,9
RU-SE;28,5;8,8;8,3;9,8;9,8;10,4;9,7;8,3;7,9
RU-CE;…;…;67,7;52,5;36;35;43,3;37,3;29,8
RU-STA;13,9;6,9;8,8;6,5;7,9;8,7;6,9;6;5,4
RU-FOPV;9,8;7,4;6,5;6,1;6,2;8,6;7,6;6,5;5,3
RU-BA;11,6;7;6,5;6,5;5,2;9,2;8,9;7,6;6,1
RU-ME;11,9;10;10;9;9,1;11,5;10,5;10,1;6,5
RU-MO;10,6;6,6;4,6;3,5;2,7;5,2;5,4;5,2;4,9
RU-TA;8,4;6,7;5,6;5,6;4,9;8,4;6,2;4,7;4,1
RU-UD;9,7;7,8;8,4;8,1;7,8;8,8;9,3;6,9;6
