;;1995;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012
VS;всего;78217;72885;103093;99969;106712;133656;181634;241473;301244;351928;467581;301751;397068;516718;525383
PROD;продовольственные товары и с/х сырье;1378,2;976;1623,2;1886,7;2801,1;3411,4;3291,3;4492;5514;9090;9278;9954;8755;13330;16663
MIN;минеральные продукты;33278;32689;55487,7;54653,3;58896,9;76593,1;104910,5;156372;198631;228436;326314;203373;271888;367635;375075
HIM;продукция химической промышленности;7842,5;6177;7392,3;7480,5;7393,5;9159,4;11982,4;14367;16757;20802;30234;18703;24528;32633;31993
KOZ;кожевенное сырье, пушнина и изделия из них;313,2;207;269,7;228,7;266,9;331,5;351,9;330;367;337;354;242;305;394;502
DER;древесина и целлюлозно-бумажные изделия;4362,7;3716;4460,1;4426,8;4908,1;5584;7020,8;8305;9535;12263;11560;8437;9574;11273;10139
TEX;текстиль, текстильные изделия и обувь;1153,5;811;816,5;798,2;883,4;947,1;1038,6;965;967;952;870;700;764;934;745
MET;металлы, драгоценные камни и изделия из них;20900,8;19017;22369,7;18797,9;19922,8;23735,1;36823,8;40592;48936;55963;61751;38628;50343;58701;58246
MAS;машины, оборудование и транспортные средства;7962,3;7958,3;9070,9;10471;10089,6;11994,3;14159,8;13505;17437;19667;22764;17950;21257;26025;26539
PRC;прочие товары;1025,8;1334;1602,8;1226,4;1549,6;1899,8;2054,6;2545;3101;4420;4458;3764;…;5794;5480
