;;1995;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012
VS;всего;46709;30278;33880;41883;46177;57347;75581;98708;137807;199746;267101;167457;228912;305760;314150
PROD;продовольственные товары и с/х сырье;13152,2;8072,8;7384,1;9204,9;10379,9;12043,4;13849,8;17430;21640;27626;35189;30096;36398;42535;40384
MIN;минеральные продукты;3001,2;1207,1;2136,7;1699,7;1719,2;2152;3046,6;3034;3300;4681;8279;4075;5193;9877;7400
HIM;продукция химической промышленности;5088,3;4869,4;6080,4;7631,7;7732,7;9615,6;11956,1;16275;21787;27530;35209;27896;36969;46044;47916
KOZ;кожевенное сырье, пушнина и изделия из них;166,5;86,6;126,3;220,5;208;225,9;245,9;275;434;697;1038;769;1244;1581;1601
DER;древесина и целлюлозно-бумажные изделия;1103,6;1077,3;1293,3;1687,2;1923,9;2406,3;2867,5;3290;3964;5309;6504;5111;5893;6743;6143
TEX;текстиль, текстильные изделия и обувь;2643,8;1582,9;1990,7;2296,5;2434,7;2780;3259,9;3619;5494;8631;11658;9555;14148;16735;17627
MET;металлы, драгоценные камни и изделия из них;3956,3;2223,6;2824,4;3113,9;2975,3;4211,8;6001,9;7652;10642;16382;19337;11343;16795;22996;22765
MAS;машины, оборудование и транспортные средства;15704,1;10071,5;10649,3;14231,7;16755;21432;31126,9;43436;65706;101739;140759;72639;101739;148068;157556
PRC;прочие товары;1893;1086,8;1394,3;1796,4;2047,8;2479,6;3226;3697;4840;7152;9127;5975;…;11183;12758
