;;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013
SH;Сельское хозяйство, охота и лесное хозяйство;450727;479860;640254;668963;758698;927552;1159500;1201849;1134630;1622890,5;1582634,3;1725094,3
RYB;Рыболовство, рыбоводство;20520;49197;49893;39200;40255;34255;32029;45759;62154;60395,0;55540,1;56680,9
DOB;Добыча полезных ископаемых;113182;155392;574536;801631;981282;1354829;1279135;1423938;2031347;2705476,3;2936219,1;3148404,3
OBR;Обрабатывающие производства;802418;855602;1463971;2087016;2530398;2856174;3474136;2609204;3227018;4072779,6;4212496,5;4523070,8
EE;Производство и распределение электроэнергии, газа и воды;152470;176563;285144;271254;326794;353692;440664;711113;783552;920375,6;843701,8;882353,6
STR;Строительство;197640;412898;479945;503870;651162;851170;1159270;1119795;1497300;2049065,9;2404058,3;2458587,2
TOR;Оптовая и розничная торговля, ремонт;1969409;2251031;2574430;3020930;3902980;4553483;5320574;4584817;5878771;6231851,9;6601057,5;6719277,2
HOT;Гостиницы и рестораны;52595;57922;92553;116914;139079;192480;231691;216776;231306;277476,3;318360,7;346482,8
TR;Транспорт и связь;550348;683292;951914;1062786;1287188;1632785;1873878;1789581;2217017;2217439,9;2619594,5;2726092,0
FIN;Финансовая деятельность ;134571;186682;280313;365734;521433;644706;768682;989833;929833;966016,6;1211987,8;1536371,6
NED;Операции с недвижимым имуществом;726481;852579;974717;1174205;1465022;1974022;2421305;2530879;3203029;3524434,5;4008454,6;4320458,2
GOS;Государственное управление;20903;31718;33453;38477;42279;51514;65375;70422;70191;75900,9;98243,7;128541,1
OB;Образование;27721;30498;53679;58519;62696;76803;91844;88000;92588;108132,2;96036,8;99096,3
ZDR;Здравоохранение и предоставление соц. услуг;49363;63467;71503;86326;96911;100606;125329;137210;145509;154197,3;148575,1;174953,8
USL;Предоставление прочих коммунальных, социальных и персональных услуг;79605;74027;106358;142317;188408;233011;255254;191911;221464;253461,8;253000,9;278771,5
DH;Деятельность домашних хозяйств;;;;…;;…;…;…;29;28,9;34,4;37,1
FP;Косвенно измеряемые услуги финансового посредничества;-179288;;-307147;;;;;;;;;
IT;Итого по видам экономической деятельности;5168665;6360728;8325516;10438139;12994584;15837082;18698666;17711086;21725738;25239923,2;27389996,1;29124273,1
SKR;Кроме того, скрытые оплата труда и смешанные доходы ;-1249000;-1496400;-1995100;2551000;-3450000;-4450000;-5200000;-5790000;-6632000;-7868000;-8959000,0;-25239923,2
ITS;Всего, включая скрытые оплату;3919665;4864328;6330416;7887139;9544584;11387082;13498666;11921086;15093738;17371923,2;18430996,1;3884349,9
