;;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013
SH;Сельское хозяйство, охота и лесное хозяйство;-5817;-10527;-8053;3153;4479,9;99,7;-18262,9;-53688;-19289,8;-57170,6;-61499,9;-56012,4
RYB;Рыболовство, рыбоводство;926;104;2069;1030;381;590,6;457,2;634,2;2163,3;1070,5;2139,6;1726,1
DOB;Добыча полезных ископаемых;308175;349799;533933;919798;1114660,2;1018875,6;1437137,2;910635;1206552;1679217,1;2056407,7;2161019,3
OBR;Обрабатывающие производства;87259;35889;54198;46806;97474,3;265099,3;381126,4;257971,5;332092,9;511006,9;580269;616115,6
EE;Производство и распределение электроэнергии, газа и воды;31212;22547;21495;22211;22851,7;32404,8;44442,4;45709;55415,1;58165;65910,3;76663,9
STR;Строительство;14156;4180;5287;4368;5203,8;9069,6;9400,2;6442,3;7975,6;19422,2;20438,2;22384,2
TOR;Оптовая и розничная торговля, ремонт;43221;30881;26380;39894;52162,2;68091,5;76916,5;59165,7;67726,2;58810;90032,9;103770,4
HOT;Гостиницы и рестораны;2360;881;985;914;1143,5;1805,1;2078,3;2195,6;2861,5;3055,5;3253,6;3678,6
TR;Транспорт и связь;55891;39516;31497;50484;61728,6;61391;73275,3;75490,4;89832,4;73501,1;80011,3;93100,3
FIN;Финансовая деятельность ;22917;21378;21066;36228;49962,5;64200,7;71620,1;70988,3;80564,2;99085,1;118667,6;125438,1
NED;Операции с недвижимым имуществом;32697;27663;15684;25721;30693,6;39777,9;35498,1;50103,9;51730,6;57800,3;71332,9;80854,8
GOS;Государственное управление;1599;767;340;432;405,1;605,7;681,4;24642,4;19717;19699,6;26885,3;27020
OB;Образование;1401;359;328;277;315;406,7;516;24506,9;26753,2;32247,7;37344,3;44050,9
ZDR;Здравоохранение и предоставление соц. услуг;1358;807;623;895;845,9;1194,8;1374,5;12955,8;17246,5;19916,8;23019,8;26122
USL;Предоставление прочих коммунальных, социальных и персональных услуг;-827;-211;-1584;4049;4546,5;7661,9;8010,6;10870,7;9363;8324,1;9052,3;10255,1
DH;Деятельность домашних хозяйств;;;;…;;;;;0,3;0,2;0,3;0,3
IT;Итого по видам экономической деятельности;596528;524034;704245;1156260;1446853,8;1571274,9;2124271,3;1498623,7;1950704;2584151,5;3123265,2;3336187,2
