State ;GDP;Percentage of;Population;GDP;GDP Rank
territory;($Millions);national GDP;(Millions);per capita ($);per capita
United States;14657800;100;308.7;47482;
California;1936400;13.34;37.3;51914;12
Texas;1307432;8.92;25.1;45940;24
New York;1156500;7.68;19.4;57423;7
Florida;754000;5.2;18.8;40106;40
Illinois;644200;4.44;12.8;50328;15
Pennsylvania;575600;3.97;12.7;45323;25
New Jersey;497000;3.42;8.8;56477;8
Ohio;483400;3.33;11.5;42035;33
Virginia;427700;2.95;8;53463;9
North Carolina;407400;2.81;9.5;42884;31
Georgia;403100;2.79;9.7;41711;35
Massachusetts;377700;2.6;6.5;58108;6
Michigan;372400;2.57;9.9;37616;42
Washington;351100;2.42;6.7;52403;10
Maryland;300000;2.07;5.8;51724;13
Indiana;267600;1.84;6.5;41169;36
Minnesota;267100;1.84;5.3;50396;14
Arizona;261300;1.8;6.4;40828;39
Colorado;259700;1.79;5;51940;11
Wisconsin;251400;1.73;5.7;44105;29
Tennessee;250300;1.72;6.3;39730;41
Missouri;246700;1.7;6;41117;37
Connecticut;233400;1.61;3.6;64833;4
Louisiana;213600;1.47;4.5;47467;21
Alabama;174400;1.2;4.8;36333;46
Oregon;168900;1.16;3.8;44447;27
South Carolina;164300;1.13;4.6;35717;48
Kentucky;161400;1.11;4.3;37535;43
Oklahoma;160500;1.11;3.8;42237;32
Iowa;147200;1.01;3;49067;19
Kansas;128500;0.89;2.9;44310;28
Nevada;127500;0.88;2.7;47222;23
Utah;116900;0.81;2.8;41750;34
Arkansas;105800;0.73;2.9;36483;45
District of Columbia;104700;0.72;0.6;174500;1
Mississippi;98900;0.68;3;32967;51
Nebraska;89600;0.62;1.8;49778;17
New Mexico;75500;0.52;2.1;35952;47
Hawaii;68900;0.47;1.4;49214;18
West Virginia;66600;0.46;1.9;35053;49
Delaware;62700;0.43;0.9;69667;2
New Hampshire;61600;0.42;1.3;47385;22
Idaho;54800;0.38;1.6;34250;50
Maine;53200;0.37;1.3;40923;38
Rhode Island;49500;0.34;1.1;45000;26
Alaska;45600;0.31;0.7;65143;3
South Dakota;39900;0.27;0.8;49875;16
Wyoming;38200;0.26;0.6;63667;5
Montana;37200;0.26;1;37200;44
North Dakota;33400;0.23;0.7;47714;20
Vermont;26400;0.18;0.6;44000;30
